"+ve"switchstate  "-ve"switchstate 			   "p"switchstate      "p"switchpresstimeinms
SW_PREPRESSED           SW_RELEASED             SW_PRESSED            150
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED             1
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          5
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          2
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          11
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          9
SW_PREPRESSED           SW_RELEASED             SW_PRESSED            150
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED             1
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          5
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          2
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          11
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          9
SW_PREPRESSED           SW_RELEASED             SW_PRESSED            150
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED             1
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          5
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          2
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          11
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          9
SW_PREPRESSED           SW_RELEASED             SW_PRESSED            150
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED             1
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          5
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          2
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          11
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          9
SW_PREPRESSED           SW_RELEASED             SW_PRESSED            150
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED             1
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          5
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          2
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          11
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          9
SW_PREPRESSED           SW_RELEASED             SW_PRESSED            150
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED             1
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          5
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          2
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          11
SW_PREPRESSED           SW_RELEASED           SW_PREPRESSED          9
